Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
7891cd39feac16a056e5aeaf582b6411bdad1368894cde4d48334b8099400921,2017-03,Essex Police,Essex Police,0.293549,51.489465,On or near GILBERT ROAD,E01015982,Thurrock 019A,Investigation complete; no suspect identified
bac793442987e588c28c06b740768eac491c63a4c9326018a532acef174338b4,2017-03,Essex Police,Essex Police,0.444115,51.572875,On or near BOYTONS,E01021291,Basildon 016E,Investigation complete; no suspect identified
27d758448502b63461f712264e3e516b215088313c10ab8fdb2c06bdda69bd4d,2017-03,Essex Police,Essex Police,0.684980,51.554290,On or near CARDIGAN AVENUE,E01015858,Southend-on-Sea 004B,Investigation complete; no suspect identified
ae8bc8fd496d10bf5c2bcbe22ecdb639f33274f205d1a9a7da73daf152075f1c,2017-03,Essex Police,Essex Police,0.924628,51.912592,On or near ALBRIGHTON CROFT,E01021670,Colchester 002C,Investigation complete; no suspect identified
42b85c4cc81b045bcf4e2b3ddd9d907d95c98c27de73825245fe7797c98cb165,2017-03,Essex Police,Essex Police,0.459707,51.571362,On or near NORTH GUNNELS,E01021318,Basildon 015C,Investigation complete; no suspect identified
5b860ce3c2956fe2e873792033763235ba9e5ee4c96cc433f7f4e22163c535b4,2017-03,Essex Police,Essex Police,0.583009,51.916605,On or near GOSFIELD ROAD,E01021381,Braintree 007F,Investigation complete; no suspect identified
e114c2a1d65496ec243dde3f6c683a0fc6733125ff9d065e3b76b8860484d998,2017-03,Essex Police,Essex Police,0.459707,51.571362,On or near NORTH GUNNELS,E01021318,Basildon 015C,Investigation complete; no suspect identified
97afd86f0dd81528a7e07b558e52862f747a92e0f7089df156f995a1229af0bd,2017-03,Essex Police,Essex Police,0.353983,51.637840,On or near CHANCERY GATE,E01021452,Brentwood 003E,Investigation complete; no suspect identified
5f2827b902f0b9cdeb7ee9ec3cd21380d84d09c866333daa77497cc03a027ac5,2017-03,Essex Police,Essex Police,0.263431,51.706447,On or near MILLFIELD,E01021769,Epping Forest 003A,Investigation complete; no suspect identified
7188b87bcb1fabe9d0fd47e42eadf847b8b084e2fcdfc154526bcaa0155d3178,2017-03,Essex Police,Essex Police,0.342855,51.480675,On or near MAYCROFT AVENUE,E01015967,Thurrock 014B,Investigation complete; no suspect identified
accfc11da1ef10734804c43693abf7ac0676f5548ec8d2e8b7f12413fefcceef,2017-03,Essex Police,Essex Police,0.666441,51.571791,On or near ROACH VALE,E01015833,Southend-on-Sea 001A,Investigation complete; no suspect identified
120b530c60119eb8844262a6f3fa3403b7b82fea23533abb631e75b54b882f87,2017-03,Essex Police,Essex Police,0.041574,51.636027,On or near SWAN LANE,E01021780,Epping Forest 014A,Investigation complete; no suspect identified
5fdc0988b46ccf8665b8df6e3aa7c5a437bd46d34c5b54a26d6b10c8694dbdda,2017-03,Essex Police,Essex Police,0.722102,51.537902,On or near KILWORTH AVENUE,E01015840,Southend-on-Sea 014B,Investigation complete; no suspect identified
fa2c486f4cf7f67bd09e003a88fcc54c9692e3001fd9fbfab24709ca5ea7ed8d,2017-03,Essex Police,Essex Police,0.343886,51.933545,On or near MAYES PLACE,E01022092,Uttlesford 004A,Investigation complete; no suspect identified
5669f339a5eacae6b8a3f022fa3a7a48a34713397ae91df4a272ca634dee2ec1,2017-03,Essex Police,Essex Police,0.541756,51.876505,On or near SCHOOL VIEW,E01021366,Braintree 010B,Investigation complete; no suspect identified
31d0f6de7df437e70b595a2def76a5800011c709719e4e8222fe8a8f366a4767,2017-03,Essex Police,Essex Police,0.714260,51.561701,On or near CRAFTSMANS SQUARE,E01015874,Southend-on-Sea 006F,Investigation complete; no suspect identified
b7ee21d79438452d27fe0ea2b8dd4c03686b32253e2e1a6b758070c0e233d58d,2017-03,Essex Police,Essex Police,0.325332,51.474261,On or near SHERFIELD ROAD,E01015954,Thurrock 017D,Investigation complete; no suspect identified
ce07571152208e44a3664e957f6f62ce15e40ce792138542bee105e40ba76943,2017-03,Essex Police,Essex Police,0.062244,51.687400,On or near Pedestrian Subway,E01021806,Epping Forest 009A,Investigation complete; no suspect identified
773b927c306729c2ff142eb3e83cd0a52a7fb7126cbecffcb101cf04e4adafcb,2017-03,Essex Police,Essex Police,0.656749,51.569682,On or near EASTWOOD PARK CLOSE,E01015833,Southend-on-Sea 001A,Investigation complete; no suspect identified
87e762d2a803b862a13ce30db2c06510a8b01d90544f075c4139141536fef510,2017-03,Essex Police,Essex Police,0.327902,51.610860,On or near RUNNING WATERS,E01021445,Brentwood 009A,Investigation complete; no suspect identified
ea067468357e4897183cbacbbb41ba70aa28235b86a5b6b0e59b1784cb7c563e,2017-03,Essex Police,Essex Police,0.638732,51.792207,On or near PELLY AVENUE,E01021422,Braintree 017E,Investigation complete; no suspect identified
6ce609189d36f30012324456090d9d504b1800458a0824c0caa89b715eb62a64,2017-03,Essex Police,Essex Police,0.070487,51.649568,On or near DURNELL WAY,E01021790,Epping Forest 012E,Investigation complete; no suspect identified
93c4b19a02897dfd6b6e120c3a0cfe26cda1edf610dbeab3fbc2f9bd5551f0c8,2017-03,Essex Police,Essex Police,0.084822,51.607228,On or near KEATS CLOSE,E01021764,Epping Forest 017A,Investigation complete; no suspect identified
34fd328087a03e7ff63f929a0e94eb5860312c41de07c7f73170003fd5d3f6f4,2017-03,Essex Police,Essex Police,0.572069,51.869209,On or near CHARTER WAY,E01021368,Braintree 011A,Investigation complete; no suspect identified
8526ff46d64a064eada3456e81b107bdca311e0224231d7e558567d63af91e2c,2017-03,Essex Police,Essex Police,0.126648,51.755126,On or near PRIORY COURT,E01021835,Harlow 008C,Investigation complete; no suspect identified
72b669706fc5385b0233a826aecaa229f157738205366c8a64a6ed39a117d16c,2017-03,Essex Police,Essex Police,0.706796,51.573520,On or near SOUTHEND ROAD,E01021956,Rochford 007E,Investigation complete; no suspect identified
361749cb4b5ee604021868a4f29f8ff80f73feb7daa3619301a977aee61be365,2017-03,Essex Police,Essex Police,0.505076,51.756858,On or near LOUVAIN DRIVE,E01033144,Chelmsford 005F,Investigation complete; no suspect identified
9599af78b57b7058e54b399efe296c465410ad106fc4a2f876a87ace65b21a12,2017-03,Essex Police,Essex Police,0.627513,51.794041,On or near OSBERT ROAD,E01021423,Braintree 016A,Investigation complete; no suspect identified
f061955db5fb152810662764bd944234df74f1865151821697445534469877c9,2017-03,Essex Police,Essex Police,0.162202,51.713795,On or near WELLINGTON ROAD,E01021799,Epping Forest 001E,Investigation complete; no suspect identified
a388b9839c274e898be36dc851e6083058092ac40513cc751ea839a1afaf0c9f,2017-03,Essex Police,Essex Police,0.236080,51.486403,On or near HALFWAY COURT,E01016014,Thurrock 015E,Investigation complete; no suspect identified
959b3d338eeed642173f7fa75d8875de533ffcd88af9ebf9657df2f060add1b1,2017-03,Essex Police,Essex Police,0.635464,51.548749,On or near GORDON ROAD,E01015913,Southend-on-Sea 008F,Investigation complete; no suspect identified
191934ef44567b82dc5cd4a3817ec6ca2612e53dd198d32efdbda31f59a9c7f9,2017-03,Essex Police,Essex Police,0.429335,51.513836,On or near WALKERS SQUARE,E01015992,Thurrock 005C,Investigation complete; no suspect identified
06e32a131e2d28c7e847667121222606811eca310c66de6e1e4eae0ff8426dff,2017-03,Essex Police,Essex Police,0.327036,51.475783,On or near THE RETREAT,E01015952,Thurrock 017B,Investigation complete; no suspect identified
9aff1698a06aa8d2a24e5e7abd5da9d8701e19afc9225f9c1a836cce3c9a27e6,2017-03,Essex Police,Essex Police,0.126648,51.755126,On or near PRIORY COURT,E01021835,Harlow 008C,Investigation complete; no suspect identified
eeb1f3834f9766035b281e6a9aa598a912dbfb6733c03aa2bc45201c3e69681c,2017-03,Essex Police,Essex Police,1.279812,51.934568,On or near MARINE PARADE,E01022001,Tendring 001D,Investigation complete; no suspect identified
d207bf4e8d418151ac9480898746e8d3aa916831e3501f65cdc75f90602544c5,2017-03,Essex Police,Essex Police,0.286071,51.635549,On or near LARCHWOOD GARDENS,E01021464,Brentwood 004E,Investigation complete; no suspect identified
e4cbefb04f5189ec90e7f74e62147255e82247221f85874e27e8c14085b62305,2017-03,Essex Police,Essex Police,0.125080,51.783750,On or near BROMLEY CLOSE,E01021848,Harlow 002E,Investigation complete; no suspect identified
0009aa1a8fad1f4f6281a921906d546d7d4ab718d66b0d1c4350bde41678a6af,2017-03,Essex Police,Essex Police,0.522231,51.618113,On or near THE HASTINGS,E01021334,Basildon 005A,Investigation complete; no suspect identified
bd99f9356c73130c2c6e1ca577e54dedfcd13fdca0f5d07e46870a62c5f1184b,2017-03,Essex Police,Essex Police,0.549575,51.893746,On or near STANES ROAD,E01021354,Braintree 008A,Investigation complete; no suspect identified
12bd23318d2a388d9f26fb58623f2e9f71ba82e99b9e4e975ccf2c2166d67d67,2017-03,Essex Police,Essex Police,0.242263,51.701035,On or near Parking Area,E01021753,Epping Forest 004A,Investigation complete; no suspect identified
64887cee279fa0374d7cc2ec0edbd426d89000767ca66aa00d1eab9cc9c8367c,2017-03,Essex Police,Essex Police,0.302555,51.615758,On or near ROSE VALLEY,E01021436,Brentwood 007B,Investigation complete; no suspect identified
b03fce63c59b46b5bbf7ddccc40771c82337e3c301767dcf1d70140f82621e5a,2017-03,Essex Police,Essex Police,0.290691,51.493379,On or near Sports/Recreation Area,E01015942,Thurrock 020C,Investigation complete; no suspect identified
2f29b8b4b813dbb993d2c5a542b073c5088fe512a258975471eb3f1063e2989c,2017-03,Essex Police,Essex Police,0.403279,51.570814,On or near PAXFORDS,E01021277,Basildon 014D,Investigation complete; no suspect identified
73b0f4545a3ae40b1c34dd7ccb2618d92c13e1019de616a57e60c83c85548d90,2017-03,Essex Police,Essex Police,0.829597,51.760561,On or near NORTH ROAD,E01021910,Maldon 001C,Investigation complete; no suspect identified
69d6d2d0831e2cf88a5c3455059e831f7fc88d92d3f122d11f2ced88bfb3b44d,2017-03,Essex Police,Essex Police,0.731648,51.539083,On or near RIVIERA DRIVE,E01015839,Southend-on-Sea 014A,Investigation complete; no suspect identified
9123b5c046e500ea4e61f8d7834a48fe1516d5e8c4d2181e488dac332dbc09e9,2017-03,Essex Police,Essex Police,1.133280,51.791536,On or near STANLEY ROAD,E01022032,Tendring 015E,Investigation complete; no suspect identified
a2b138b9c3b0a3eb026a11df6f9ea2695914e70bddaedc030f5173e3f1084c91,2017-03,Essex Police,Essex Police,0.482637,51.565249,On or near RAVENSCOURT DRIVE,E01021327,Basildon 019E,Investigation complete; no suspect identified
6fe7f664e0b7e2df5baf5656aed20685f8a0a92b2fee15086b42b46f6d9e5227,2017-03,Essex Police,Essex Police,0.075931,51.643123,On or near LUSHES COURT,E01021771,Epping Forest 013A,Investigation complete; no suspect identified
62973a0e40b054e6040a4235e51531f19ae98d737275bba1df07e7c909f1c4d0,2017-03,Essex Police,Essex Police,0.108443,51.768997,On or near PARSONAGE LEYS,E01021852,Harlow 003D,Investigation complete; no suspect identified
942d98cc8f15f90cefea56336cc094823e5361a19f68ba51288fc7b91d42135d,2017-03,Essex Police,Essex Police,0.691065,51.595278,On or near WENDON CLOSE,E01021932,Rochford 007B,Investigation complete; no suspect identified
93db9600edc6dad37c96e1ab44a3e0ae42c64e8ea17b8e05ea296f7e243b9aca,2017-03,Essex Police,Essex Police,0.702585,51.582827,On or near Petrol Station,E01021954,Rochford 007D,Investigation complete; no suspect identified
cec31965e36500cb30bc000452441f255108619eb1894368bd85fbb035f0c247,2017-03,Essex Police,Essex Police,0.494965,51.581409,On or near HOLBECH ROAD,E01021269,Basildon 012C,Investigation complete; no suspect identified
f268a5125e068f5e2815ac638aef71c675192fe3a8143239da40cc31f8b96ed5,2017-03,Essex Police,Essex Police,0.441441,51.518926,On or near SANCTUARY GARDEN,E01015985,Thurrock 003B,Investigation complete; no suspect identified
579632044270004b01616bdbd6087297c53822700d1d29017fcdccc3112b485b,2017-03,Essex Police,Essex Police,0.439727,51.567481,On or near MANDEVILLE WAY,E01021287,Basildon 017A,Investigation complete; no suspect identified
08f7f7a8c9db3cb352b61fae89ba4769f9f5cc59b5d8349cc26dc429a23f6a8e,2017-03,Essex Police,Essex Police,0.615634,51.782750,On or near HATFIELD ROAD,E01021396,Braintree 018D,Investigation complete; no suspect identified
b211ef3389bcdc0936af40e9b78d68dac954ccb48c2bb6705ca69561e4b07c78,2017-03,Essex Police,Essex Police,0.340706,51.485395,On or near EASTERN ROAD,E01015968,Thurrock 014C,Investigation complete; no suspect identified
a4a0fc00d4761e6fe240d6858cefe7412b1527cffbfdd7372cfd7d81e9205ad5,2017-03,Essex Police,Essex Police,0.116678,51.649679,On or near LONDON ROAD,E01021770,Epping Forest 010A,Investigation complete; no suspect identified
52b7aefa4f5530560d0463c78b09c7f6306bc9dec362c37697d237546bcd5159,2017-03,Essex Police,Essex Police,0.429655,51.513604,On or near COPLAND ROAD,E01015992,Thurrock 005C,Investigation complete; no suspect identified
c0e9db842ad38471371a60e1a88f64ee5e743ed11a9babf28584a9777b42607b,2017-03,Essex Police,Essex Police,0.113929,51.775651,On or near THE STOW,E01021845,Harlow 002B,Investigation complete; no suspect identified
2bbff5f96bd341624522b28135ccfb890e6256563c3e9c91d44f1ff66d8ff610,2017-03,Essex Police,Essex Police,0.654174,51.808443,On or near A12,E01021362,Braintree 015A,Investigation complete; no suspect identified
5049bbca532978fbe78581ecc97e4ae7faa56915f3c692b8df8270a7cfa1210a,2017-03,Essex Police,Essex Police,0.585847,51.567660,On or near THE RUNDELS,E01021511,Castle Point 002C,Investigation complete; no suspect identified
ef64b9ec90c46ba74b1b0e9703599e0b48398f68d7d63980ebbabe7a5be89821,2017-03,Essex Police,Essex Police,0.029089,51.685874,On or near ABBOTTS DRIVE,E01021815,Epping Forest 007D,Investigation complete; no suspect identified
28ada9da55edb4d720619cf878c9db61a30669aa013d2630d684dde8dd3e4847,2017-03,Essex Police,Essex Police,1.141689,51.911932,On or near ABBOTS CLOSE,E01021978,Tendring 003A,Investigation complete; no suspect identified
17a0c47708273704759e7255b3956c06b86145ffc962a3bb285451fdeaddb122,2017-03,Essex Police,Essex Police,0.931567,51.890987,On or near HICKORY AVENUE,E01021699,Colchester 008D,Investigation complete; no suspect identified
97cff2fc970885a889a7a3364ae154aa3737cbd8be768e7a8658de96c3ea1138,2017-03,Essex Police,Essex Police,0.045084,51.625382,On or near Supermarket,E01021748,Epping Forest 015G,Investigation complete; no suspect identified
2e0f5d338c1eb8168a942b9d84c5c64a0c96aadbc8f8aab93f56d9416718f432,2017-03,Essex Police,Essex Police,1.160885,51.795321,On or near WALTON ROAD,E01022049,Tendring 014D,Investigation complete; no suspect identified
76b589bef88dbd4f376c00a877d3025ab06cb656d16515cd457dbbf1308f0c34,2017-03,Essex Police,Essex Police,1.253436,51.943665,On or near TYLER STREET,E01033051,Tendring 002F,Investigation complete; no suspect identified
f471d79503492a0c2b2639c42ea9400c90dcaa5d6cfb7ad51c135f000567c5ff,2017-03,Essex Police,Essex Police,0.900344,51.861849,On or near JAMES PARNELL DRIVE,E01021639,Colchester 018C,Investigation complete; no suspect identified
fbcda76daba677010079a5e4cf5f46f7d1c77a3f938a2ab6ed70068d044902e2,2017-03,Essex Police,Essex Police,0.200343,52.062371,On or near MANOR LANE,E01022094,Uttlesford 001D,Investigation complete; no suspect identified
60c6f72465b8906600bf3ac1c090f51b63f9a95c0972c6788bb5c31a68e1e6dd,2017-03,Essex Police,Essex Police,0.342176,51.488792,On or near Parking Area,E01015970,Thurrock 014E,Investigation complete; no suspect identified
68735d2e9831e224fdec3d2edbf771d4f0683e6097100b1e2f1e974c1d35bbf0,2017-03,Essex Police,Essex Police,0.441386,51.572311,On or near GREAT KNIGHTLEYS,E01021291,Basildon 016E,Investigation complete; no suspect identified
1ae6de4b1eaff4fdbc64acc358f2c29e42e50098569a08d9e9e19d7927274f37,2017-03,Essex Police,Essex Police,0.296350,51.523989,On or near PEARTREE CLOSE,E01015971,Thurrock 006B,Investigation complete; no suspect identified
44ce2183a629eddb39f90df505b4d68f5c39e6e86cdbb05de4af149d9c3e146a,2017-03,Essex Police,Essex Police,0.945535,51.931847,On or near OLD IPSWICH ROAD,E01021655,Colchester 001A,Investigation complete; no suspect identified
e23f1373337b6ba08d59de11ed0982610a02afaa3a94ccfe8f27dd3340ac6611,2017-03,Essex Police,Essex Police,0.900413,51.887074,On or near WHITEWELL ROAD,E01021649,Colchester 007D,Investigation complete; no suspect identified
03b99077bc5ff2d8877119eb448b54b4cf3b51cba3c20f9907313c6e2d63823f,2017-03,Essex Police,Essex Police,0.627513,51.794041,On or near OSBERT ROAD,E01021423,Braintree 016A,Investigation complete; no suspect identified
eb60985fbb54ae2d43ad28ec4a454a50a9cea70ec674e16bc326f4719482d257,2017-03,Essex Police,Essex Police,0.644573,51.802553,On or near Police Station,E01021416,Braintree 017B,Investigation complete; no suspect identified
46ac211f25f520d222dd9fc4e90b50e4204746c7f39d3697ab76f489df0dedc6,2017-03,Essex Police,Essex Police,0.713962,51.534151,On or near Nightclub,E01015852,Southend-on-Sea 015B,Investigation complete; no suspect identified
85a96a1f7f0344b54651150c9847557e1c4abeeb4b03c94ec02f258718349d44,2017-03,Essex Police,Essex Police,0.563387,51.543439,On or near Parking Area,E01021480,Castle Point 007A,Investigation complete; no suspect identified
985ccc2943f869b04262468db02a1aafc6a991823c7204036b81a44c91311b28,2017-03,Essex Police,Essex Police,0.414758,51.691445,On or near WANTZ ROAD,E01021602,Chelmsford 018B,Investigation complete; no suspect identified
b3e7f6fd0ddaf47bfe8f12677dbdb90e5252e3ead1f8b3f008cddb7d7cb32883,2017-03,Essex Police,Essex Police,0.679001,51.723333,On or near BRAEBURN DRIVE,E01021894,Maldon 005B,Investigation complete; no suspect identified
7fee7139b77a6afcbdd85df10b1422b8593e4faf191033e4ca51e54a623ed760,2017-03,Essex Police,Essex Police,0.644573,51.802553,On or near Police Station,E01021416,Braintree 017B,Investigation complete; no suspect identified
e62e75c852adf6d898a5610cf614db7af2ca9e7ea7290b4e0a60f8655fd2abe5,2017-03,Essex Police,Essex Police,0.370501,51.488870,On or near NEVELL ROAD,E01015937,Thurrock 012E,Investigation complete; no suspect identified
07dc8695a0ac2956fc341f9eb3a0c602abf4d5a346043780f94245ba47393930,2017-03,Essex Police,Essex Police,0.476567,51.852014,On or near HOLLOW ROAD,E01022064,Uttlesford 008B,Investigation complete; no suspect identified
9999d2818b7c277cb86725de859db84e966ee112e95fbb0c4d842d026f5eab46,2017-03,Essex Police,Essex Police,1.029426,51.797264,On or near CRUCE WAY,E01022046,Tendring 011E,Investigation complete; no suspect identified
e386ea864ee7daefaaa2aa3b35da6f1bc128b5fa9343aaab1f86d912cb50f379,2017-03,Essex Police,Essex Police,1.157035,51.816183,On or near LEYTON COURT,E01022039,Tendring 010B,Investigation complete; no suspect identified
87b1e56348895dd0e9401afa8f5243d3444bf531ed0916f469f73e79a622ef10,2017-03,Essex Police,Essex Police,1.111329,51.783008,On or near PARK SQUARE WEST,E01021989,Tendring 018B,Investigation complete; no suspect identified
39aba1f904d2a2dd9ea4c7074158c31ab2502b370d61b3ccec7f1dfc16f19c8a,2017-03,Essex Police,Essex Police,0.419386,51.481117,On or near PRINCESS AVENUE,E01015948,Thurrock 013B,Investigation complete; no suspect identified
a43e335f7476b7605c9f9245f3fff2009c1e1404d7ee23e6e5400753a53af34f,2017-03,Essex Police,Essex Police,0.457767,51.753981,On or near TRADDLES COURT,E01021590,Chelmsford 002D,Investigation complete; no suspect identified
8939b30ee403de87ab4b782a232604c92f95df2b311fff05083872a525323d54,2017-03,Essex Police,Essex Police,0.014575,51.747362,On or near SEDGE GREEN,E01021792,Epping Forest 002B,Investigation complete; no suspect identified
3852c20eec0a47f4c0b643ce69f14755b19fb8a7edf30428b5397c1a4ce95207,2017-03,Essex Police,Essex Police,0.694876,51.550618,On or near HIGHFIELD CLOSE,E01015860,Southend-on-Sea 004D,Investigation complete; no suspect identified
c4c7f6ddf082669e028c7dc4863a2b845b77119cd582cc40d452c09fe07bfbf2,2017-03,Essex Police,Essex Police,0.374851,51.489133,On or near RYKHILL,E01015938,Thurrock 012F,Investigation complete; no suspect identified
f72b629eacd0f2b6abd95f65aa37d2c03d66fb0a58a88cc582b136e19cff8fb2,2017-03,Essex Police,Essex Police,0.515047,51.571790,On or near LEIGH FELLS,E01021315,Basildon 018C,Investigation complete; no suspect identified
fb9bae809e22321a8467d1354200134c0cfef2608526de38c1bb9de815d87b94,2017-03,Essex Police,Essex Police,0.306461,51.476433,On or near WOULDHAM ROAD,E01015951,Thurrock 017A,Investigation complete; no suspect identified
1d4abfcbfaa99e91035547b52471889aeca07358e9aeb2f997b545ee713a99ff,2017-03,Essex Police,Essex Police,0.302372,51.617560,On or near QUEEN'S ROAD,E01021436,Brentwood 007B,Investigation complete; no suspect identified
06b6ad841cfda8c3b20f6dca03a024acd52fc55516444547f483178a9452b0a2,2017-03,Essex Police,Essex Police,0.428020,51.638311,On or near Supermarket,E01021250,Basildon 001D,Investigation complete; no suspect identified
802d9efb3bcb51d0d466b41cfe6ccfa51c348e9e963b2d4c62f38e7ffed394ba,2017-03,Essex Police,Essex Police,1.241736,51.829032,On or near HOLLAND ROAD,E01021986,Tendring 006B,Investigation complete; no suspect identified
cb35a91485aad2e39acbb2d47b4cebfb4946ac3670a6134269d29b0a63143ee8,2017-03,Essex Police,Essex Police,1.249860,51.942325,On or near EDWARD STREET,E01033051,Tendring 002F,Investigation complete; no suspect identified
24f44e05806c09d84c85479df8b245de9b04bef64381c3c5ce7b4c1ee756c130,2017-03,Essex Police,Essex Police,0.647783,51.809801,On or near MOTTS LANE,E01021416,Braintree 017B,Investigation complete; no suspect identified
c8278f8cb84bc01b1e044e97817b0381f8a5a1c3c8666b342f81e9edcdf4b022,2017-03,Essex Police,Essex Police,0.414758,51.691445,On or near WANTZ ROAD,E01021602,Chelmsford 018B,Investigation complete; no suspect identified
498c1e783d47e5283d24fe541ced5871b45f092fdfaee000505093f4ac280c17,2017-03,Essex Police,Essex Police,0.790894,51.880155,On or near LONDON ROAD,E01021678,Colchester 010E,Investigation complete; no suspect identified
7f049908ca504ac5c40658f1824e8275e7136c98687acece94383626598d291b,2017-03,Essex Police,Essex Police,0.242458,51.498071,On or near PURFLEET ROAD,E01015925,Thurrock 008D,Investigation complete; no suspect identified
e6c3dbb89208046ca14603608ced3d497a39531e7d4ee23847bae63a5d76f02d,2017-03,Essex Police,Essex Police,1.150380,51.797348,On or near Petrol Station,E01021970,Tendring 016A,Investigation complete; no suspect identified
59ab50fecb4b2942fcd6e3cbb64be5a25f01a549fdb83acfc37218a67d4464c4,2017-03,Essex Police,Essex Police,0.575173,51.598868,On or near LONDON ROAD,E01021920,Rochford 006A,Investigation complete; no suspect identified
6d37ebdc85d1b3a48eae6079f0e3ce0926593c6dede14bed4028bb9892cf6c57,2017-03,Essex Police,Essex Police,0.035638,51.671273,On or near FOREST CLOSE,E01021806,Epping Forest 009A,Investigation complete; no suspect identified
34374fb426e468d02d99ff8daf4989cb49efdc1f81ebca1252316dec72daf53a,2017-03,Essex Police,Essex Police,0.623054,51.694936,On or near HAWKINS CLOSE,E01021903,Maldon 007G,Investigation complete; no suspect identified
4e92aade78faa1fe660881e7bde99b2c3601b7fc6f03151b272a171c49d1434e,2017-03,Essex Police,Essex Police,1.194370,51.935156,On or near WRABNESS ROAD,E01022028,Tendring 004F,Investigation complete; no suspect identified
ca381827bed61c007e0f4f94c27aa8a0454c224553174d6154f2722b54f6805c,2017-03,Essex Police,Essex Police,0.666195,51.542937,On or near NELSON DRIVE,E01015846,Southend-on-Sea 011B,Investigation complete; no suspect identified
f978ca2c650ca1220b9ecffce9b8a961a956a79204d50beb70367eaba787fe9e,2017-03,Essex Police,Essex Police,0.548287,51.575200,On or near MAYFLOWERS,E01021514,Castle Point 001B,Investigation complete; no suspect identified
